channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
1;1;0;-1;1009;4;-1;-1;1009;48.199925;-4.493275;1.100000023841858;0;108.30000305175781;186;0;0;0;-1;562291.037139892;9.9203
2;1;0;-1;1383;2;-1;-1;1383;48.199918333333336;-4.493195;1.2000000476837158;0;100.0999984741211;186;0;0;0;-1;562301.019165038;9.982
1;1;0;-1;-1;3;-1;-1;1764;48.199911666666665;-4.493101666666667;1.2999999523162842;0;96.0999984741211;186;0;0;0;-1;562311.178558349;10.1594
2;1;0;-1;2177;4;-1;-1;2176;48.199913333333335;-4.4929966666666665;1.5;0;89.9000015258789;188;0;0;0;-1;562322.178558349;11.0
1;1;0;-1;273;2;-1;-1;273;48.199918333333336;-4.492906666666666;1.5;0;86.30000305175781;190;0;0;0;-1;562331.418640136;9.2401
2;1;0;-1;-1;1;-1;-1;637;48.19992833333333;-4.492798333333333;1.600000023841858;0;84.0999984741211;192;0;0;0;-1;562341.116729736;9.6981
1;1;0;-1;-1;3;-1;-1;1009;48.19994166666667;-4.492695;1.7000000476837158;0;80.69999694824219;195;0;0;0;-1;562351.041107177;9.9244
2;1;0;-1;-1;1;-1;-1;1383;48.19996;-4.49257;1.7000000476837158;0;79.5999984741211;198;1;0;0;-1;562361.019378661;9.9783
1;1;0;-1;1764;2;-1;-1;1764;48.199978333333334;-4.49246;1.600000023841858;0;77.80000305175781;201;0;0;0;-1;562371.178527832;10.1591
2;1;0;-1;-1;3;-1;-1;2176;48.200001666666665;-4.4923416666666665;1.600000023841858;0;73.4000015258789;204;0;0;0;-1;562382.179992675;11.0015
1;1;0;-1;-1;1;-1;-1;273;48.200021666666665;-4.492238333333334;1.5;0;75.5999984741211;206;0;0;0;-1;562391.418701171;9.2387
2;1;0;2302;-1;0;-1;-1;637;48.20003666666667;-4.4921516666666665;1.399999976158142;0;74.80000305175781;208;0;0;0;-1;562401.116973877;9.6983
1;1;0;-1;1009;2;-1;-1;1009;48.20005666666667;-4.492063333333333;1.2999999523162842;0;72.4000015258789;210;0;0;0;-1;562411.037200928;9.9202
2;1;0;2279;-1;0;-1;-1;1383;48.20007666666667;-4.491971666666666;1.2999999523162842;0;71.30000305175781;213;0;0;0;-1;562421.019348144;9.9821
1;5;-1;-1;-1;-1;-1;-1;1494;-1;-1;-1;2;-1;-1;-1;-1;-1;0;562423.978210449;2.9589
1;1;0;-1;-1;1;-1;-1;1764;48.20009666666667;-4.49188;1.2999999523162842;0;72.19999694824219;215;0;0;0;-1;562431.178955078;7.2007
2;1;0;-1;2177;2;-1;-1;2176;48.20012;-4.491778333333333;1.2999999523162842;0;73.5;218;0;0;0;-1;562442.178131103;10.9992
1;1;0;2298;-1;0;-1;-1;273;48.20013333333333;-4.491693333333333;1.399999976158142;0;77.5999984741211;222;1;0;0;-1;562451.418518065;9.2404
2;1;0;-1;-1;7;-1;-1;689;48.20015166666666;-4.491595;1.2999999523162842;0;81.5999984741211;225;0;0;0;-1;562462.500488281;11.082
1;3;0;-1;-1;-1;290;1;1009;48.200163333333336;-4.491513333333334;1.2000000476837158;0;78.9000015258789;228;1;0;0;-1;562471.036376952;8.5359
1;3;0;-1;-1;-1;241;0;1299;48.20017;-4.4914483333333335;1.2999999523162842;0;85.4000015258789;231;1;0;0;-1;562478.778564452;7.7422
2;3;0;-1;-1;-1;246;1;1412;48.200176666666664;-4.491421666666667;1.2000000476837158;0;80.5;232;0;0;0;-1;562481.779907226;3.0013
1;3;0;-1;-1;-1;0;0;1540;48.200181666666666;-4.49139;1.2000000476837158;0;84.5;233;0;0;0;-1;562485.196716308;3.4168
2;3;0;-1;-1;-1;263;0;1658;48.200181666666666;-4.491365;1.2000000476837158;0;86.30000305175781;235;1;0;0;-1;562488.338439941;3.1417
1;3;0;-1;-1;-1;285;1;1764;48.200183333333335;-4.491336666666666;1.2000000476837158;0;86.80000305175781;236;1;0;0;-1;562491.178405761;2.84
2;3;0;-1;-1;-1;0;0;1921;48.20018833333334;-4.491303333333334;1.100000023841858;0;82.19999694824219;237;0;0;0;-1;562495.356597899;4.1782
1;3;0;-1;-1;-1;249;0;2049;48.20019166666667;-4.491281666666667;1.100000023841858;0;84.30000305175781;238;0;0;0;-1;562498.778564452;3.422
2;3;0;-1;-1;-1;239;1;2176;48.20019;-4.491246666666667;1.2000000476837158;0;87.5999984741211;240;1;0;0;-1;562502.179840087;3.4013
1;3;0;-1;-1;-1;0;0;48;48.200195;-4.491215;1.100000023841858;0;79.9000015258789;240;0;0;0;-1;562505.419097899;3.2393
2;3;0;-1;-1;-1;254;0;165;48.20019666666666;-4.491193333333333;1.100000023841858;0;86.0999984741211;241;1;0;0;-1;562508.556121826;3.137
1;3;0;-1;-1;-1;220;1;321;48.200195;-4.491161666666667;1.100000023841858;0;86.80000305175781;243;1;0;0;-1;562512.699493407;4.1434
2;3;0;-1;-1;-1;0;0;420;48.20019833333333;-4.49114;1.0;0;84.0999984741211;244;1;0;0;-1;562515.338897704;2.6394
1;3;0;-1;-1;-1;239;0;541;48.20019833333333;-4.4911183333333335;1.100000023841858;0;90.0999984741211;245;1;0;0;-1;562518.556427001;3.2175
2;3;0;-1;-1;-1;224;1;689;48.20019833333333;-4.491088333333333;1.100000023841858;0;87.0;246;0;0;0;-1;562522.499938964;3.9435
1;3;0;-1;-1;-1;0;0;780;48.2002;-4.4910733333333335;1.100000023841858;0;86.5999984741211;247;1;0;0;-1;562524.93887329;2.4389
2;3;0;-1;-1;-1;255;0;913;48.2002;-4.491043333333334;1.100000023841858;0;87.19999694824219;248;1;0;0;-1;562528.47668457;3.5378
1;3;0;-1;-1;-1;280;1;1009;48.200201666666665;-4.49103;1.0;0;85.4000015258789;248;0;0;0;-1;562531.03652954;2.5598
2;3;0;-1;-1;-1;0;0;1168;48.200201666666665;-4.491;1.100000023841858;0;89.5999984741211;250;1;0;0;-1;562535.276733398;4.2402
1;3;0;-1;-1;-1;261;0;1289;48.2002;-4.490966666666667;1.100000023841858;0;89.69999694824219;251;1;0;0;-1;562538.499053955;3.2223
